Facebook Ireland Limited,Invoice Report
Business Name,ReadyPlanet BM1,Report Start Date,31 Jan 2021
Business ID,_10152359449443603_,Report End Date,05 Feb 2021
Taxed Amount in period,฿0.00
Total Invoiced Amount in period,"฿11,844,645.82"
Total Due Amount in period,"฿11,844,645.82"


Vendor,Invoice Number,Transaction Type,Advertiser,Billing Period,Payment Terms,Invoice Net Amount,Invoice Tax Amount,Invoice Total Amount,Liable Party,Currency,Issue Date,Due Date,Payment Status,Amount Due,Customer PO Number,Ad Account Id,Ad Account Name,Campaign Id,Campaign Name,Campaign Objective,Campaign Clicks,Campaign Impressions,Campaign Labels,Campaign Amount,Campaign Tax Amount,Campaign Total Amount,Campaign Creator,Campaign Last Modified By
Facebook Ireland Limited,226811017,Invoice,"ReadyPlanet Co., Ltd",2021-01-01,Net 30,"฿302,850.61",฿0.00,"฿302,850.61","ReadyPlanet Co., Ltd",THB,02 Feb 2021,04 Mar 2021,Unpaid,"฿302,850.61",,_528612004009324_,,_23846215258490480_,,,,56255,,"฿9,305.84",฿0.00,"฿9,305.84",,
Facebook Ireland Limited,226811017,Invoice,"ReadyPlanet Co., Ltd",2021-01-01,Net 30,"฿302,850.61",฿0.00,"฿302,850.61","ReadyPlanet Co., Ltd",THB,02 Feb 2021,04 Mar 2021,Unpaid,"฿302,850.61",,_457495477787644_,,_6204845939199_,,,,20857,,฿679.51,฿0.00,฿679.51,,
Facebook Ireland Limited,226811017,Invoice,"ReadyPlanet Co., Ltd",2021-01-01,Net 30,"฿302,850.61",฿0.00,"฿302,850.61","ReadyPlanet Co., Ltd",THB,02 Feb 2021,04 Mar 2021,Unpaid,"฿302,850.61",,_457495477787644_,,_6206466440599_,,,,37890,,"฿1,245.36",฿0.00,"฿1,245.36",,
Facebook Ireland Limited,226811017,Invoice,"ReadyPlanet Co., Ltd",2021-01-01,Net 30,"฿302,850.61",฿0.00,"฿302,850.61","ReadyPlanet Co., Ltd",THB,02 Feb 2021,04 Mar 2021,Unpaid,"฿302,850.61",,_457495477787644_,,_6205112895999_,,,,37296,,"฿2,032.50",฿0.00,"฿2,032.50",,
Facebook Ireland Limited,226811017,Invoice,"ReadyPlanet Co., Ltd",2021-01-01,Net 30,"฿302,850.61",฿0.00,"฿302,850.61","ReadyPlanet Co., Ltd",THB,02 Feb 2021,04 Mar 2021,Unpaid,"฿302,850.61",,_560935520776972_,,_23846892034410190_,,,,278,,฿17.90,฿0.00,฿17.90,,
Facebook Ireland Limited,226811017,Invoice,"ReadyPlanet Co., Ltd",2021-01-01,Net 30,"฿302,850.61",฿0.00,"฿302,850.61","ReadyPlanet Co., Ltd",THB,02 Feb 2021,04 Mar 2021,Unpaid,"฿302,850.61",,_528612004009324_,,_23846215258490480_,,,,274,,฿16.75,฿0.00,฿16.75,,
Facebook Ireland Limited,226811017,Invoice,"ReadyPlanet Co., Ltd",2021-01-01,Net 30,"฿302,850.61",฿0.00,"฿302,850.61","ReadyPlanet Co., Ltd",THB,02 Feb 2021,04 Mar 2021,Unpaid,"฿302,850.61",,_457495477787644_,,_6204845438199_,,,,1055,,฿40.06,฿0.00,฿40.06,,
Facebook Ireland Limited,226811017,Invoice,"ReadyPlanet Co., Ltd",2021-01-01,Net 30,"฿302,850.61",฿0.00,"฿302,850.61","ReadyPlanet Co., Ltd",THB,02 Feb 2021,04 Mar 2021,Unpaid,"฿302,850.61",,_457495477787644_,,_6206477695399_,,,,56963,,"฿2,037.82",฿0.00,"฿2,037.82",,
Facebook Ireland Limited,226811017,Invoice,"ReadyPlanet Co., Ltd",2021-01-01,Net 30,"฿302,850.61",฿0.00,"฿302,850.61","ReadyPlanet Co., Ltd",THB,02 Feb 2021,04 Mar 2021,Unpaid,"฿302,850.61",,_560935520776972_,,_23846699986380190_,,,,655,,฿12.48,฿0.00,฿12.48,,
Facebook Ireland Limited,226811017,Invoice,"ReadyPlanet Co., Ltd",2021-01-01,Net 30,"฿302,850.61",฿0.00,"฿302,850.61","ReadyPlanet Co., Ltd",THB,02 Feb 2021,04 Mar 2021,Unpaid,"฿302,850.61",,_528612004009324_,,_23846519656810480_,,,,286,,฿18.26,฿0.00,฿18.26,,
Facebook Ireland Limited,226811017,Invoice,"ReadyPlanet Co., Ltd",2021-01-01,Net 30,"฿302,850.61",฿0.00,"฿302,850.61","ReadyPlanet Co., Ltd",THB,02 Feb 2021,04 Mar 2021,Unpaid,"฿302,850.61",,_457495477787644_,,_6204698520199_,,,,60856,,"฿2,069.95",฿0.00,"฿2,069.95",,
Facebook Ireland Limited,226811017,Invoice,"ReadyPlanet Co., Ltd",2021-01-01,Net 30,"฿302,850.61",฿0.00,"฿302,850.61","ReadyPlanet Co., Ltd",THB,02 Feb 2021,04 Mar 2021,Unpaid,"฿302,850.61",,_560935520776972_,,_23846992068970190_,,,,1898,,฿73.30,฿0.00,฿73.30,,
Facebook Ireland Limited,226811017,Invoice,"ReadyPlanet Co., Ltd",2021-01-01,Net 30,"฿302,850.61",฿0.00,"฿302,850.61","ReadyPlanet Co., Ltd",THB,02 Feb 2021,04 Mar 2021,Unpaid,"฿302,850.61",,_457495477787644_,,_6205113603999_,,,,57221,,"฿2,041.05",฿0.00,"฿2,041.05",,
Facebook Ireland Limited,226811017,Invoice,"ReadyPlanet Co., Ltd",2021-01-01,Net 30,"฿302,850.61",฿0.00,"฿302,850.61","ReadyPlanet Co., Ltd",THB,02 Feb 2021,04 Mar 2021,Unpaid,"฿302,850.61",,_466156366921555_,,_6132022939477_,,,,440927,,"฿14,588.40",฿0.00,"฿14,588.40",,
Facebook Ireland Limited,226815007,Invoice,"ReadyPlanet Co., Ltd",2021-01-01,Net 30,"฿523,122.98",฿0.00,"฿523,122.98","ReadyPlanet Co., Ltd",THB,02 Feb 2021,04 Mar 2021,Unpaid,"฿523,122.98",,_10153103861388603_,FB34-ReadyPlanet THB2,_6233688710678_,2021.01.25 Why Readyplanet,LINK_CLICKS,,94,,฿1.68,฿0.00,฿1.68,Sumate Srisupkitmongkol,Sumate Srisupkitmongkol
Facebook Ireland Limited,226815007,Invoice,"ReadyPlanet Co., Ltd",2021-01-01,Net 30,"฿523,122.98",฿0.00,"฿523,122.98","ReadyPlanet Co., Ltd",THB,02 Feb 2021,04 Mar 2021,Unpaid,"฿523,122.98",,_10153246970248603_,"fb43-fb4-Ruenthaibylalita, D300, R3,000",_6146501209397_,07.01.2020 Messages,MESSAGES,,4317,,฿275.58,฿0.00,฿275.58,Chanyaphat Weerapokinsakul,Chanyaphat Weerapokinsakul
Facebook Ireland Limited,226815007,Invoice,"ReadyPlanet Co., Ltd",2021-01-01,Net 30,"฿523,122.98",฿0.00,"฿523,122.98","ReadyPlanet Co., Ltd",THB,02 Feb 2021,04 Mar 2021,Unpaid,"฿523,122.98",,_10153103861388603_,FB34-ReadyPlanet THB2,_6230196863878_,2021.01.04 R-Web Conv.,CONVERSIONS,,1487,,฿91.41,฿0.00,฿91.41,Sumate Srisupkitmongkol,Sumate Srisupkitmongkol
Facebook Ireland Limited,226815007,Invoice,"ReadyPlanet Co., Ltd",2021-01-01,Net 30,"฿523,122.98",฿0.00,"฿523,122.98","ReadyPlanet Co., Ltd",THB,02 Feb 2021,04 Mar 2021,Unpaid,"฿523,122.98",,_10153103861388603_,FB34-ReadyPlanet THB2,_6230582973078_,2021.01.06 Widget Plus,CONVERSIONS,,5190,,฿833.57,฿0.00,฿833.57,Sumate Srisupkitmongkol,Sumate Srisupkitmongkol
